# wrong<TAB>correct<TAB>scope
Ban Bi thu	Ban Bí thư	all
Ban Bí thu	Ban Bí thư	all
Kê hoạch	Kế hoạch	all
Ké hoạch	Kế hoạch	all
Quyét định	Quyết định	all
Công vãn	Công văn	all
thưc hiện	thực hiện	all
thực hiên	thực hiện	all
Chi thị	Chỉ thị	all
/D U	/ĐU	symbol
/DU	/ĐU	symbol
-DU	-ĐU	symbol
/TƯ	/TW	symbol
/TU	/TW	symbol
KT LUN CỦA BAN THƯNG VU ĐNG Y	KẾT LUẬN CỦA BAN THƯỜNG VỤ ĐẢNG ỦY	all
KT LUN CA BAN THƯNG VU ĐNG Y	KẾT LUẬN CỦA BAN THƯỜNG VỤ ĐẢNG ỦY	all
KET LUAN CUA BAN THUONG VU DANG UY	KẾT LUẬN CỦA BAN THƯỜNG VỤ ĐẢNG ỦY	all
đánh giá kt quă	đánh giá kết quả	all
đánh giá kt quả	đánh giá kết quả	all
the hin nhim v	thực hiện nhiệm vụ	all
thc hin nhim v	thực hiện nhiệm vụ	all
đi vói đng chí	đối với đồng chí	all
đi với đng chí	đối với đồng chí	all
Trn Th Thu Hà	Trần Thị Thu Hà	all
Phó Trưng Ban	Phó Trưởng Ban	all
PhóTrưởng	Phó Trưởng	all
Ban Qun lý	Ban Quản lý	all
Thc hin Ké hoch	Thực hiện Kế hoạch	all
Thc hin Kế hoch	Thực hiện Kế hoạch	all
ca Ban Thưng v	của Ban Thường vụ	all
t chc kim đim	tổ chức kiểm điểm	all
xp loi cht lưng	xếp loại chất lượng	all
h thng chính tr	hệ thống chính trị	all
Thnh ph đn co s	Thành phố đến cơ sở	all
Hưng dn s	Hướng dẫn số	all
Vè đánh giá	Về đánh giá	all
Bí thưr Chi b	Bí thư Chi bộ	all
Bí thư Chi b	Bí thư Chi bộ	all
Binh Tiên	Bình Tiên	all
Thành y	Thành ủy	all
Kế hoạch s	Kế hoạch số	all
Hướng dẫn s	Hướng dẫn số	all

KET LUAN CUA BAN THUONG VU PANG UY	KẾT LUẬN CỦA BAN THƯỜNG VỤ ĐẢNG ỦY	all
BAN THUONG VU PANG UY	BAN THƯỜNG VỤ ĐẢNG ỦY	all
KẾT LUẬN CỦA BAN THƯỜNG VỤ PẢNG ỦY	KẾT LUẬN CỦA BAN THƯỜNG VỤ ĐẢNG ỦY	all
